mag,err
nan,nan
nan,nan
13.811459,0.14998876
nan,nan
13.423203,0.1764348
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
13.134079,0.096844599
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
11.738682,0.049898095
13.172932,0.11071038
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
12.764053,0.10976383
nan,nan
nan,nan
nan,nan
nan,nan
13.639915,0.20951904
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
13.483604,0.17429182
10.359932,0.017175918
nan,nan
13.050472,0.0916522
nan,nan
nan,nan
13.765438,0.17810723
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
13.229351,0.13510351
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
13.828114,0.14765707
nan,nan
nan,nan
nan,nan
nan,nan
12.976974,0.078881137
nan,nan
14.045101,0.18497027
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
13.733727,0.21746369
nan,nan
nan,nan
13.689247,0.15552522
nan,nan
13.775913,0.11775068
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
11.34668,0.066014118
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
12.798534,0.072906874
13.90752,0.17718638
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
12.643799,0.052105527
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
13.678123,0.29625735
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
13.920235,0.15653095
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
14.043484,0.15921447
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
7.1935539,0.0013611056
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
13.635849,0.51268178
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
14.192303,0.21791838
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
15.125328,0.41764843
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
11.582863,0.044345409
13.118008,0.066303872
14.756367,0.39465144
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
14.242622,0.20655137
nan,nan
nan,nan
13.607475,0.14325675
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
13.970871,0.18406528
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
14.042877,0.17714393
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
13.39592,0.1267847
9.5761681,0.0067889486
nan,nan
nan,nan
nan,nan
13.067631,0.077620305
nan,nan
11.590961,0.030017072
nan,nan
12.921253,0.057149727
nan,nan
nan,nan
nan,nan
14.048203,0.54583049
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
14.310066,0.14858028
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
13.390381,0.19231558
nan,nan
nan,nan
nan,nan
nan,nan
8.6509438,0.0029768024
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
14.337128,0.16843204
nan,nan
nan,nan
nan,nan
13.77951,0.16326293
nan,nan
nan,nan
11.876179,0.035823144
nan,nan
14.392776,0.30477372
12.49556,0.086818472
nan,nan
10.300941,0.013984994
nan,nan
nan,nan
13.824139,0.18775482
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
15.006668,0.25898239
13.816143,0.16064957
nan,nan
12.938618,0.099846855
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
12.768784,0.058342908
nan,nan
nan,nan
12.985359,0.097171105
nan,nan
13.101364,0.092157081
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
12.963554,0.1071958
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
12.589493,0.049872313
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
13.321945,0.10036203
nan,nan
12.660782,0.064925939
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
13.361549,0.13227324
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
11.132027,0.044947982
nan,nan
nan,nan
nan,nan
13.417618,0.090314858
12.775421,0.071945041
nan,nan
nan,nan
14.627785,0.24597286
nan,nan
13.00108,0.1017186
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
12.493542,0.046874661
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
12.318039,0.12148658
nan,nan
nan,nan
nan,nan
11.298019,0.018721988
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
12.322052,0.050669577
nan,nan
12.30793,0.041769672
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
12.616489,0.060132299
nan,nan
nan,nan
nan,nan
nan,nan
13.56749,0.10519206
nan,nan
nan,nan
13.824631,0.22305004
nan,nan
12.735477,0.060202796
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
13.549339,0.13988833
nan,nan
nan,nan
nan,nan
nan,nan
13.751068,0.14758532
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
13.103043,0.14344516
12.489227,0.051852275
nan,nan
nan,nan
nan,nan
12.414055,0.10261376
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
11.620022,0.038106758
nan,nan
12.000481,0.049431071
nan,nan
nan,nan
nan,nan
13.860611,0.12924762
13.744511,0.11019516
nan,nan
13.848801,0.1143262
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
13.845078,0.13702932
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
12.442497,0.048939049
nan,nan
14.167366,0.42214045
nan,nan
nan,nan
nan,nan
nan,nan
12.648117,0.068365112
nan,nan
13.411404,0.11720852
nan,nan
nan,nan
nan,nan
nan,nan
13.803955,0.23814496
nan,nan
nan,nan
nan,nan
nan,nan
9.8784752,0.007105377
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
