wtd
4917
7440
11206
15087
16469
21934
22913
29469
30065
42327
42901
47513
48684
48843
49674
52057
53119
53573
56268
56802
57186
58499
61257
62492
62720
65821
68252
70444
71441
72260
75156
75307
76711
78356
79278
83402
84168
84791
86311
86396
88086
88620
89997
91121
94306
95075
101662
102426
103380
103615
104206
106786
108931
109002
115277
119807
123557
124437
124640
124823
125917
128717
131292
131772
135876
136018
136670
137479
141214
142655
146657
146933
148148
150729
151833
153757
156818
158052
160004
160729
164727
165254
168277
173156
178474
178531
180064
181794
183740
184796
184809
186795
190036
191382
193834
194396
195801
198127
