RA,Dec
nan,nan
347.54942,62.246113
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
347.257149,62.256538
nan,nan
nan,nan
nan,nan
346.733341,62.273811
nan,nan
346.65413,62.276302
346.587291,62.278267
nan,nan
349.954219,62.136452
349.795252,62.144955
nan,nan
349.068272,62.181713
nan,nan
nan,nan
nan,nan
348.79537,62.194626
348.720395,62.19812
nan,nan
348.554194,62.205418
nan,nan
348.216223,62.220039
348.170817,62.22192
348.066189,62.226261
nan,nan
347.966921,62.230305
nan,nan
nan,nan
nan,nan
nan,nan
347.50182,62.248005
347.48455,62.248726
nan,nan
nan,nan
nan,nan
347.139013,62.260864
347.092382,62.262455
nan,nan
346.797752,62.272018
346.509311,62.280663
nan,nan
nan,nan
346.193657,62.289639
nan,nan
nan,nan
nan,nan
349.907614,62.139019
nan,nan
nan,nan
349.663406,62.152142
nan,nan
nan,nan
349.364474,62.167599
349.111924,62.179836
nan,nan
348.851479,62.192394
348.764612,62.196259
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
348.272225,62.218037
nan,nan
nan,nan
nan,nan
347.681728,62.24165
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
346.9984,62.265747
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
350.196529,62.123375
nan,nan
349.979476,62.135502
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
348.703605,62.199509
nan,nan
nan,nan
nan,nan
nan,nan
348.089209,62.225658
nan,nan
nan,nan
nan,nan
nan,nan
347.537486,62.247322
nan,nan
nan,nan
347.476938,62.249527
nan,nan
347.222122,62.258492
347.203098,62.25922
347.143005,62.261124
347.135711,62.261452
nan,nan
347.047295,62.26424
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
346.26908,62.288124
346.252409,62.288506
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
350.075952,62.130367
349.905266,62.139671
nan,nan
349.49657,62.161186
nan,nan
nan,nan
nan,nan
nan,nan
348.632655,62.202774
nan,nan
nan,nan
nan,nan
nan,nan
347.834072,62.236229
nan,nan
nan,nan
nan,nan
nan,nan
347.233263,62.258045
347.176254,62.260323
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
350.147085,62.12661
349.945628,62.137787
349.913962,62.139507
nan,nan
nan,nan
349.140053,62.179249
nan,nan
nan,nan
348.839661,62.193432
nan,nan
nan,nan
348.747123,62.197689
nan,nan
348.392332,62.213535
nan,nan
348.152675,62.223557
nan,nan
348.100195,62.225769
nan,nan
347.778219,62.238705
nan,nan
347.637171,62.243843
nan,nan
347.557499,62.246872
nan,nan
347.057669,62.264423
nan,nan
346.900254,62.269787
346.880618,62.270176
nan,nan
346.85772,62.270973
346.848215,62.271454
nan,nan
nan,nan
nan,nan
nan,nan
346.357414,62.285976
nan,nan
345.981312,62.29623
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
349.511648,62.160999
349.330883,62.170128
349.248215,62.174198
nan,nan
348.969691,62.187847
nan,nan
nan,nan
nan,nan
nan,nan
348.375109,62.214397
nan,nan
348.29179,62.218143
348.266273,62.21912
348.216389,62.221252
348.083255,62.226627
nan,nan
347.837678,62.236534
347.73854,62.240353
347.680504,62.242657
347.661155,62.243279
347.616805,62.245026
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
347.191967,62.260113
347.11258,62.262836
347.10408,62.26321
347.087575,62.263653
nan,nan
346.966525,62.267635
nan,nan
346.819592,62.272507
nan,nan
346.650973,62.277866
nan,nan
nan,nan
nan,nan
nan,nan
346.436131,62.283993
346.411164,62.284718
346.396571,62.285194
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
346.09581,62.293465
nan,nan
nan,nan
345.904525,62.298405
nan,nan
nan,nan
345.612465,62.305367
nan,nan
nan,nan
345.463344,62.308731
nan,nan
nan,nan
350.199941,62.124207
349.851179,62.143276
349.637921,62.154865
349.606035,62.156361
349.550266,62.15926
349.534828,62.159962
nan,nan
349.282058,62.172699
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
348.595161,62.205135
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
348.176369,62.22324
348.16465,62.223648
nan,nan
347.857728,62.236027
nan,nan
347.418867,62.252403
nan,nan
346.906796,62.269806
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
346.407549,62.285069
